Modelo,Descript,Pulls,Tags,Actualizado
gemma,"Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind.",233.6K,69,"Updated yesterday"
llama2,"Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.",837.3K,102,"Updated 6 weeks ago"
mistral,"The 7B model released by Mistral AI, updated to version 0.2.",374.4K,68,"Updated yesterday"
mixtral,"A high-quality Mixture of Experts (MoE) model with open weights by Mistral AI.",113.8K,34,"Updated 7 weeks ago"
llava,"🌋 LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.",87.3K,98,"Updated 7 weeks ago"
neural-chat,"A fine-tuned model based on Mistral with good coverage of domain and language.",17.7K,50,"Updated 3 months ago"
codellama,"A large language model that can use text prompts to generate and discuss code.",259.4K,199,"Updated 7 weeks ago"
dolphin-mixtral,"An uncensored, fine-tuned model based on the Mixtral mixture of experts model that excels at coding tasks. Created by Eric Hartford.",171.4K,70,"Updated 2 months ago"
qwen,"Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 72B parameters",116.3K,319,"Updated 6 weeks ago"
llama2-uncensored,"Uncensored Llama 2 model by George Sung and Jarrad Hope.",115.8K,34,"Updated 4 months ago"
mistral-openorca,"Mistral OpenOrca is a 7 billion parameter model, fine-tuned on top of the Mistral 7B model using the OpenOrca dataset.",109.2K,17,"Updated 5 months ago"
deepseek-coder,"DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.",75.3K,102,"Updated 2 months ago"
nous-hermes2,"The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.",67.3K,33,"Updated 2 months ago"
phi,"Phi-2: a 2.7B language model by Microsoft Research that demonstrates outstanding reasoning and language understanding capabilities.",65.3K,18,"Updated 7 weeks ago"
orca-mini,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.",58.9K,119,"Updated 4 months ago"
dolphin-mistral,"The uncensored Dolphin model based on Mistral that excels at coding tasks. Updated to version 2.6.",53.0K,103,"Updated 2 months ago"
wizard-vicuna-uncensored,"Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford.",36.8K,49,"Updated 4 months ago"
vicuna,"General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.",32.5K,111,"Updated 4 months ago"
tinydolphin,"An experimental 1.1B parameter model trained on the new Dolphin 2.8 dataset by Eric Hartford and based on TinyLlama.",30.4K,18,"Updated 7 weeks ago"
llama2-chinese,"Llama 2 based model fine tuned to improve Chinese dialogue ability.",28.2K,35,"Updated 4 months ago"
nomic-embed-text,"A high-performing open embedding model with a large token context window.",26.5K,3,"Updated 3 weeks ago"
openhermes,"OpenHermes 2.5 is a 7B model fine-tuned by Teknium on Mistral with fully open datasets.",26.1K,35,"Updated 2 months ago"
zephyr,"Zephyr beta is a fine-tuned 7B version of mistral that was trained on on a mix of publicly available, synthetic datasets.",25.8K,34,"Updated 2 months ago"
tinyllama,"The TinyLlama project is an open endeavor to train a compact 1.1B Llama model on 3 trillion tokens.",23.9K,36,"Updated 2 months ago"
openchat,"A family of open-source models trained on a wide variety of data, surpassing ChatGPT on various benchmarks. Updated to version 3.5-0106.",22.8K,50,"Updated 2 months ago"
wizardcoder,"State-of-the-art code generation model",22.1K,67,"Updated 2 months ago"
phind-codellama,"Code generation model based on Code L
lama.",18.6K,49,"Updated 2 months ago"
starcoder,"StarCoder is a code generation model trained on 80+ programming languages.",18.5K,100,"Updated 5 months ago"
starcoder2,"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters.",16.0K,49,"Updated 2 weeks ago"
yi,"A high-performing, bilingual language model.",15.9K,78,"Updated 2 months ago"
orca2,"Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models. The model is designed to excel particularly in reasoning.",15.3K,33,"Updated 4 months ago"
falcon,"A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots.",15.0K,38,"Updated 5 months ago"
wizard-math,"Model focused on math and logic problems",14.8K,64,"Updated 3 months ago"
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",14.0K,15,"Updated 3 months ago"
nous-hermes,"General use models based on Llama and Llama 2 from Nous Research.",12.4K,63,"Updated 4 months ago"
starling-lm,"Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness.",12.3K,18,"Updated 3 months ago"
stable-code,"Stable Code 3B is a model offering accurate and responsive code completion at a level on par with models such as CodeLLaMA 7B that are 2.5x larger.",11.5K,18,"Updated 2 months ago"
